Sequence,Category_Id,Difficulty,SNo,English,Tamil,Category_Name,Category_Name_Tamil
1,1,D1,1,ear,காது,Body Parts,உடல் பகுதிகள்
2,1,D1,2,nose,மூக்கு,Body Parts,உடல் பகுதிகள்
3,1,D1,3,head,தலை,Body Parts,உடல் பகுதிகள்
4,1,D1,4,eye,கண்,Body Parts,உடல் பகுதிகள்
5,1,D1,5,hand,கை,Body Parts,உடல் பகுதிகள்
6,1,D1,6,leg,கால்,Body Parts,உடல் பகுதிகள்
7,1,D1,7,body,உடம்பு (உடல்),Body Parts,உடல் பகுதிகள்
8,1,D1,8,teeth,பல்,Body Parts,உடல் பகுதிகள்
9,1,D1,9,finger,விரல்,Body Parts,உடல் பகுதிகள்
10,1,D1,10,neck,கழுத்து,Body Parts,உடல் பகுதிகள்
11,1,D1,11,nail,நகம்,Body Parts,உடல் பகுதிகள்
12,1,D1,12,eyebrow,புருவம்,Body Parts,உடல் பகுதிகள்
13,1,D1,13,lip,உதடு,Body Parts,உடல் பகுதிகள்
14,1,D1,14,skin,தோல்,Body Parts,உடல் பகுதிகள்
15,1,D1,15,stomach,வயிறு,Body Parts,உடல் பகுதிகள்
16,1,D1,16,hair,முடி,Body Parts,உடல் பகுதிகள்
17,1,D1,17,tongue,நாக்கு,Body Parts,உடல் பகுதிகள்
18,1,D1,18,back,முதுகு,Body Parts,உடல் பகுதிகள்
19,1,D1,19,thigh,தொடை,Body Parts,உடல் பகுதிகள்
20,1,D1,20,forehead,நெற்றி,Body Parts,உடல் பகுதிகள்
21,1,D2,1,lungs,நுரையீரல்,Body Parts,உடல் பகுதிகள்
22,1,D2,2,eyelid,இமை,Body Parts,உடல் பகுதிகள்
23,1,D2,3,heart,இதயம்,Body Parts,உடல் பகுதிகள்
24,1,D2,4,intestine,குடல்,Body Parts,உடல் பகுதிகள்
25,1,D2,5,shoulder,தோள்,Body Parts,உடல் பகுதிகள்
26,1,D2,6,bronchialtube,மூச்சுக் குழாய்,Body Parts,உடல் பகுதிகள்
27,1,D2,7,foot,பாதம்,Body Parts,உடல் பகுதிகள்
28,1,D2,8,palm,உள்ளங்கை,Body Parts,உடல் பகுதிகள்
29,1,D2,9,fingerprint,கைரேகை,Body Parts,உடல் பகுதிகள்
30,1,D2,10,cheek,கன்னம்,Body Parts,உடல் பகுதிகள்
31,1,D2,11,elbow,முழங்கை,Body Parts,உடல் பகுதிகள்
32,1,D2,12,bone,எலும்பு,Body Parts,உடல் பகுதிகள்
33,1,D2,13,hip,இடுப்பு,Body Parts,உடல் பகுதிகள்
34,1,D2,14,spine,முதுகெலும்பு,Body Parts,உடல் பகுதிகள்
35,1,D2,15,toe,கால்விரல்,Body Parts,உடல் பகுதிகள்
36,1,D2,16,bonejoint,எலும்பு மூட்டு,Body Parts,உடல் பகுதிகள்
37,1,D2,17,throat,தொண்டை,Body Parts,உடல் பகுதிகள்
38,1,D2,18,brain,மூளை,Body Parts,உடல் பகுதிகள்
39,1,D2,19,blood,குருதி,Body Parts,உடல் பகுதிகள்
40,1,D2,20,knee,முழங்கால்,Body Parts,உடல் பகுதிகள்
41,2,D1,1,rice,அரிசி,Food & Groceries,உணவு & மளிகை
42,2,D1,2,lentil,பருப்பு,Food & Groceries,உணவு & மளிகை
43,2,D1,3,milk,பால்,Food & Groceries,உணவு & மளிகை
44,2,D1,4,yogurt,தயிர்,Food & Groceries,உணவு & மளிகை
45,2,D1,5,sugar,சர்க்கரை,Food & Groceries,உணவு & மளிகை
46,2,D1,6,salt,உப்பு,Food & Groceries,உணவு & மளிகை
47,2,D1,7,egg,முட்டை,Food & Groceries,உணவு & மளிகை
48,2,D1,8,honey,தேன்,Food & Groceries,உணவு & மளிகை
49,2,D1,9,meat,மாமிசம்,Food & Groceries,உணவு & மளிகை
50,2,D1,10,buttermilk,மோர்,Food & Groceries,உணவு & மளிகை
51,2,D1,11,oil,எண்ணெய்,Food & Groceries,உணவு & மளிகை
52,2,D1,12,butter,வெண்ணெய்,Food & Groceries,உணவு & மளிகை
53,2,D1,13,flour,மாவு,Food & Groceries,உணவு & மளிகை
54,2,D1,14,mustard,கடுகு,Food & Groceries,உணவு & மளிகை
55,2,D1,15,tamarind,புளி,Food & Groceries,உணவு & மளிகை
56,2,D1,16,pickle,ஊறுகாய்,Food & Groceries,உணவு & மளிகை
57,2,D1,17,snacks,தின்பண்டங்கள்,Food & Groceries,உணவு & மளிகை
58,2,D1,18,sweets,இனிப்புகள்,Food & Groceries,உணவு & மளிகை
59,2,D1,19,jaggery,வெல்லம்,Food & Groceries,உணவு & மளிகை
60,2,D1,20,candy,மிட்டாய்,Food & Groceries,உணவு & மளிகை
61,2,D2,1,cotton candy,பஞ்சுமிட்டாய்,Food & Groceries,உணவு & மளிகை
62,2,D2,2,porridge,கஞ்சி,Food & Groceries,உணவு & மளிகை
63,2,D2,3,soup,வடிசாறு,Food & Groceries,உணவு & மளிகை
64,2,D2,4,bread slice,ரொட்டித்துண்டு,Food & Groceries,உணவு & மளிகை
65,2,D2,5,jam,பழக்கூட்டு,Food & Groceries,உணவு & மளிகை
66,2,D2,6,tea,தேநீர்,Food & Groceries,உணவு & மளிகை
67,2,D2,7,lemonade,எலுமிச்சை பானம்,Food & Groceries,உணவு & மளிகை
68,2,D2,8,hot water,வெந்நீர்,Food & Groceries,உணவு & மளிகை
69,2,D2,9,tender coconut water,இளநீர்,Food & Groceries,உணவு & மளிகை
70,2,D2,10,breakfast,காலை உணவு,Food & Groceries,உணவு & மளிகை
71,2,D2,11,lunch,மதிய உணவு,Food & Groceries,உணவு & மளிகை
72,2,D2,12,dinner,இரவு உணவு,Food & Groceries,உணவு & மளிகை
73,2,D2,13,feast,விருந்து,Food & Groceries,உணவு & மளிகை
74,2,D2,14,Fruit Juice,பழச்சாறு,Food & Groceries,உணவு & மளிகை
75,2,D2,15,cumin,சீரகம்,Food & Groceries,உணவு & மளிகை
76,2,D2,16,turmeric,மஞ்சள்,Food & Groceries,உணவு & மளிகை
77,2,D2,17,chili powder,மிளகாய்த்தூள்,Food & Groceries,உணவு & மளிகை
78,2,D2,18,ginger,இஞ்சி,Food & Groceries,உணவு & மளிகை
79,2,D2,19,almond,வாதுமைப் பருப்பு,Food & Groceries,உணவு & மளிகை
80,2,D2,20,peanut,வேர்க்கடலை,Food & Groceries,உணவு & மளிகை
81,3,D1,1,home,இல்லம்,Household Items,வீட்டுப் பொருள்கள்
82,3,D1,2,entrance,வாசல்,Household Items,வீட்டுப் பொருள்கள்
83,3,D1,3,door,கதவு,Household Items,வீட்டுப் பொருள்கள்
84,3,D1,4,window,சன்னல்,Household Items,வீட்டுப் பொருள்கள்
85,3,D1,5,chair,நாற்காலி,Household Items,வீட்டுப் பொருள்கள்
86,3,D1,6,table,மேசை,Household Items,வீட்டுப் பொருள்கள்
87,3,D1,7,bed,கட்டில்,Household Items,வீட்டுப் பொருள்கள்
88,3,D1,8,upstairs,மாடி,Household Items,வீட்டுப் பொருள்கள்
89,3,D1,9,plate,தட்டு,Household Items,வீட்டுப் பொருள்கள்
90,3,D1,10,spoon,கரண்டி,Household Items,வீட்டுப் பொருள்கள்
91,3,D1,11,stove,அடுப்பு,Household Items,வீட்டுப் பொருள்கள்
92,3,D1,12,clock,கடிகாரம்,Household Items,வீட்டுப் பொருள்கள்
93,3,D1,13,pot,பாத்திரம்,Household Items,வீட்டுப் பொருள்கள்
94,3,D1,14,bowl,கிண்ணம்,Household Items,வீட்டுப் பொருள்கள்
95,3,D1,15,knife,கத்தி,Household Items,வீட்டுப் பொருள்கள்
96,3,D1,16,basket,கூடை,Household Items,வீட்டுப் பொருள்கள்
97,3,D1,17,bag,பை,Household Items,வீட்டுப் பொருள்கள்
98,3,D1,18,umbrella,குடை,Household Items,வீட்டுப் பொருள்கள்
99,3,D1,19,fan,விசிறி,Household Items,வீட்டுப் பொருள்கள்
100,3,D1,20,mat,பாய்,Household Items,வீட்டுப் பொருள்கள்
101,3,D2,1,refrigerator,குளிர்சாதனப் பெட்டி,Household Items,வீட்டுப் பொருள்கள்
102,3,D2,2,clay pot,மண்சட்டி,Household Items,வீட்டுப் பொருள்கள்
103,3,D2,3,electric fan,மின்விசிறி,Household Items,வீட்டுப் பொருள்கள்
104,3,D2,4,water pipe,தண்ணீர்க்குழாய்,Household Items,வீட்டுப் பொருள்கள்
105,3,D2,5,computer,கணினி,Household Items,வீட்டுப் பொருள்கள்
106,3,D2,6,kitchen,சமையலறை,Household Items,வீட்டுப் பொருள்கள்
107,3,D2,7,bathroom,குளியலறை,Household Items,வீட்டுப் பொருள்கள்
108,3,D2,8,bedroom,படுக்கையறை,Household Items,வீட்டுப் பொருள்கள்
109,3,D2,9,mirror,நிலைக்கண்ணாடி,Household Items,வீட்டுப் பொருள்கள்
110,3,D2,10,telephone,தொலைபேசி,Household Items,வீட்டுப் பொருள்கள்
111,3,D2,11,television,தொலைகாட்சிப்பெட்டி,Household Items,வீட்டுப் பொருள்கள்
112,3,D2,12,radio,வானொலி,Household Items,வீட்டுப் பொருள்கள்
113,3,D2,13,mobile,கைப்பேசி,Household Items,வீட்டுப் பொருள்கள்
114,3,D2,14,electric light,மின்விளக்கு,Household Items,வீட்டுப் பொருள்கள்
115,3,D2,15,chandelier,சரவிளக்கு,Household Items,வீட்டுப் பொருள்கள்
116,3,D2,16,photograph,புகைப்படம்,Household Items,வீட்டுப் பொருள்கள்
117,3,D2,17,scissors,கத்தரிக்கோல்,Household Items,வீட்டுப் பொருள்கள்
118,3,D2,18,latch,தாழ்ப்பாள்,Household Items,வீட்டுப் பொருள்கள்
119,3,D2,19,pillow,தலையணை,Household Items,வீட்டுப் பொருள்கள்
120,3,D2,20,blanket,போர்வை,Household Items,வீட்டுப் பொருள்கள்
121,4,D1,1,school,பள்ளி,School Items,பள்ளிப் பொருள்கள்
122,4,D1,2,teacher,ஆசிரியர்,School Items,பள்ளிப் பொருள்கள்
123,4,D1,3,book,புத்தகம்,School Items,பள்ளிப் பொருள்கள்
124,4,D1,4,pen,எழுதுகோல்,School Items,பள்ளிப் பொருள்கள்
125,4,D1,5,book bag,புத்தகப்பை,School Items,பள்ளிப் பொருள்கள்
126,4,D1,6,student,மாணவன்,School Items,பள்ளிப் பொருள்கள்
127,4,D1,7,classroom,வகுப்பறை,School Items,பள்ளிப் பொருள்கள்
128,4,D1,8,exam,தேர்வு,School Items,பள்ளிப் பொருள்கள்
129,4,D1,9,score,மதிப்பெண்,School Items,பள்ளிப் பொருள்கள்
130,4,D1,10,lesson,பாடம்,School Items,பள்ளிப் பொருள்கள்
131,4,D1,11,award,விருது,School Items,பள்ளிப் பொருள்கள்
132,4,D1,12,answer,விடை,School Items,பள்ளிப் பொருள்கள்
133,4,D1,13,question,வினா,School Items,பள்ளிப் பொருள்கள்
134,4,D1,14,holiday,விடுமுறை,School Items,பள்ளிப் பொருள்கள்
135,4,D1,15,paper,காகிதம்,School Items,பள்ளிப் பொருள்கள்
136,4,D1,16,school library,பள்ளி நூலகம்,School Items,பள்ளிப் பொருள்கள்
137,4,D1,17,competition,போட்டி,School Items,பள்ளிப் பொருள்கள்
138,4,D1,18,English,ஆங்கிலம்,School Items,பள்ளிப் பொருள்கள்
139,4,D1,19,knowledge,அறிவு,School Items,பள்ளிப் பொருள்கள்
140,4,D1,20,eraser,அழிப்பான்,School Items,பள்ளிப் பொருள்கள்
141,4,D2,1,paint brush,வண்ணத் தூரிகை,School Items,பள்ளிப் பொருள்கள்
142,4,D2,2,playground,விளையாட்டுத் திடல்,School Items,பள்ளிப் பொருள்கள்
143,4,D2,3,race,பந்தயம்,School Items,பள்ளிப் பொருள்கள்
144,4,D2,4,chalk,சுண்ண எழுதுகோல்,School Items,பள்ளிப் பொருள்கள்
145,4,D2,5,trophy,பரிசுக் கோப்பை,School Items,பள்ளிப் பொருள்கள்
146,4,D2,6,uniform,சீருடை,School Items,பள்ளிப் பொருள்கள்
147,4,D2,7,announcement,அறிவிப்பு,School Items,பள்ளிப் பொருள்கள்
148,4,D2,8,loud speaker,ஒலிபெருக்கி,School Items,பள்ளிப் பொருள்கள்
149,4,D2,9,interval,இடைவேளை,School Items,பள்ளிப் பொருள்கள்
150,4,D2,10,black board,கரும்பலகை,School Items,பள்ளிப் பொருள்கள்
151,4,D2,11,memorize,மனப்பாடம்,School Items,பள்ளிப் பொருள்கள்
152,4,D2,12,read,படி,School Items,பள்ளிப் பொருள்கள்
153,4,D2,13,home work,வீட்டுப்பாடம்,School Items,பள்ளிப் பொருள்கள்
154,4,D2,14,certificate,சான்றிதழ்,School Items,பள்ளிப் பொருள்கள்
155,4,D2,15,research,ஆராய்ச்சி,School Items,பள்ளிப் பொருள்கள்
156,4,D2,16,pass,தேர்ச்சி,School Items,பள்ளிப் பொருள்கள்
157,4,D2,17,social science,சமூக அறிவியல்,School Items,பள்ளிப் பொருள்கள்
158,4,D2,18,headmaster,தலைமை ஆசிரியர்,School Items,பள்ளிப் பொருள்கள்
159,4,D2,19,school bus,பள்ளிப்பேருந்து,School Items,பள்ளிப் பொருள்கள்
160,4,D2,20,poem,கவிதை,School Items,பள்ளிப் பொருள்கள்
161,5,D1,1,mom,அம்மா,Family,குடும்பம்
162,5,D1,2,dad,அப்பா,Family,குடும்பம்
163,5,D1,3,older brother,அண்ணன்,Family,குடும்பம்
164,5,D1,4,older sister,அக்கா,Family,குடும்பம்
165,5,D1,5,younger brother,தம்பி,Family,குடும்பம்
166,5,D1,6,younger sister,தங்கை,Family,குடும்பம்
167,5,D1,7,grandfather,தாத்தா,Family,குடும்பம்
168,5,D1,8,grandmother,பாட்டி,Family,குடும்பம்
169,5,D1,9,aunt,அத்தை,Family,குடும்பம்
170,5,D1,10,uncle,மாமா,Family,குடும்பம்
171,5,D1,11,husband,கணவன்,Family,குடும்பம்
172,5,D1,12,wife,மனைவி,Family,குடும்பம்
173,5,D1,13,friend (boy),தோழன்,Family,குடும்பம்
174,5,D1,14,friend (girl),தோழி,Family,குடும்பம்
175,5,D1,15,friends,நண்பர்கள்,Family,குடும்பம்
176,5,D1,16,baby,குழந்தை,Family,குடும்பம்
177,5,D1,17,grandson,பேரன்,Family,குடும்பம்
178,5,D1,18,granddaughter,பேத்தி,Family,குடும்பம்
179,5,D1,19,son,மகன்,Family,குடும்பம்
180,5,D1,20,daughter,மகள்,Family,குடும்பம்
181,5,D2,1,mom's older sister,பெரியம்மா,Family,குடும்பம்
182,5,D2,2,dad's older brother,பெரியப்பா,Family,குடும்பம்
183,5,D2,3,mom's younger sister,சித்தி,Family,குடும்பம்
184,5,D2,4,dad's younger brother,சித்தப்பா,Family,குடும்பம்
185,5,D2,5,mother-in-law,மாமியார்,Family,குடும்பம்
186,5,D2,6,father-in-law,மாமனார்,Family,குடும்பம்
187,5,D2,7,son-in-law,மருமகன்,Family,குடும்பம்
188,5,D2,8,daughter-in-law,மருமகள்,Family,குடும்பம்
189,5,D2,9,older brother's wife,அண்ணி,Family,குடும்பம்
190,5,D2,10,relatives,உறவினர்கள்,Family,குடும்பம்
191,5,D2,11,family,குடும்பம்,Family,குடும்பம்
192,5,D2,12,parents,பெற்றோர்,Family,குடும்பம்
193,5,D2,13,groom,மணமகன்,Family,குடும்பம்
194,5,D2,14,bride,மணமகள்,Family,குடும்பம்
195,5,D2,15,ancestors,முன்னோர்,Family,குடும்பம்
196,5,D2,16,grandkids,பேரக்குழந்தைகள்,Family,குடும்பம்
197,5,D2,17,great grandfather,கொள்ளுத்தாத்தா,Family,குடும்பம்
198,5,D2,18,great grandmother,கொள்ளுப்பாட்டி,Family,குடும்பம்
199,5,D2,19,siblings,உடன்பிறந்தவர்கள்,Family,குடும்பம்
200,5,D2,20,niece,உடன்பிறந்தோர் மகள்,Family,குடும்பம்
201,13,D1,1,banana,வாழைப்பழம்,Fruits,பழங்கள்
202,13,D1,2,jackfruit,பலாப்பழம்,Fruits,பழங்கள்
203,13,D1,3,mango,மாம்பழம்,Fruits,பழங்கள்
204,13,D1,4,guavas,கொய்யாப்பழம்,Fruits,பழங்கள்
205,13,D1,5,custard apple,சீதாப்பழம்,Fruits,பழங்கள்
206,13,D1,6,jamun fruit,நாவல் பழம்,Fruits,பழங்கள்
207,13,D1,7,pomegranate,மாதுளம்பழம்,Fruits,பழங்கள்
208,13,D1,8,fig,அத்திப்பழம்,Fruits,பழங்கள்
209,13,D1,9,pineapple,அன்னாசிப்பழம்,Fruits,பழங்கள்
210,13,D1,10,papaya,ப்பாளிப்பழம்,Fruits,பழங்கள்
211,13,D1,11,raisins,உலர் திராட்சை,Fruits,பழங்கள்
212,13,D1,12,lemon,எலுமிச்சம்பழம்,Fruits,பழங்கள்
213,13,D1,13,grapes,திராட்சைப்பழம்,Fruits,பழங்கள்
214,13,D1,14,pears,பேரிக்காய்,Fruits,பழங்கள்
215,13,D1,15,dates,பேரீச்சம்பழம்,Fruits,பழங்கள்
216,13,D1,16,gooseberry,நெல்லிக்காய்,Fruits,பழங்கள்
217,13,D1,17,chiku fruit,சீமையிலுப்பை,Fruits,பழங்கள்
218,13,D1,18,citron,நாரத்தைப் பழம்,Fruits,பழங்கள்
219,13,D1,19,orange,கிச்சிலிப்பழம்,Fruits,பழங்கள்
220,13,D1,20,watermelon,தர்ப்பூசணிப்பழ ம்,Fruits,பழங்கள்
221,13,D2,1,blackberry,கருநாவற்பழம்,Fruits,பழங்கள்
222,13,D2,2,sweet lime,சாத்துக்குடி,Fruits,பழங்கள்
223,13,D2,3,sugar palm,நுங்கு,Fruits,பழங்கள்
224,13,D2,4,cashew fruit,முந்திரிப்பழம்,Fruits,பழங்கள்
225,13,D2,5,wood apple,விளாம்பழம்,Fruits,பழங்கள்
226,13,D2,6,lychee,விலச்சிப்பழம்,Fruits,பழங்கள்
227,13,D2,7,apple,குமளிப்பழம்,Fruits,பழங்கள்
228,13,D2,8,apricot,சருக்கரை பாதாமிப்பழம்,Fruits,பழங்கள்
229,13,D2,9,honeydew melon,தேனீ முலாம்பழம்,Fruits,பழங்கள்
230,13,D2,10,muskmelon,கீரணிப்பழம்,Fruits,பழங்கள்
231,13,D2,11,kiwi fruit,பசலிப்பழம்,Fruits,பழங்கள்
232,13,D2,12,avocado,வெண்ணெய்ப்பழம்,Fruits,பழங்கள்
233,13,D2,13,bell fruit,பஞ்சலிப்பழம்,Fruits,பழங்கள்
234,13,D2,14,strawberry,செம்புற்றுப்பழம்,Fruits,பழங்கள்
235,13,D2,15,tamarind fruit,புளியம்பழம்,Fruits,பழங்கள்
236,13,D2,16,blueberry,அவுரிநெல்லி,Fruits,பழங்கள்
237,13,D2,17,cantaloupe,மஞ்சள் முலாம்பழம்,Fruits,பழங்கள்
238,13,D2,18,cranberry,குருதி நெல்லி,Fruits,பழங்கள்
239,13,D2,19,dragon fruit,விருத்திரப்பழம்,Fruits,பழங்கள்
240,13,D2,20,plantain fruit,நேந்திரம்பழம்,Fruits,பழங்கள்
241,17,D1,1,angle,கோணம்,Numbers and Math,"எண்கள், கணக்கு"
242,17,D1,2,square,சதுரம்,Numbers and Math,"எண்கள், கணக்கு"
243,17,D1,3,number,எண்,Numbers and Math,"எண்கள், கணக்கு"
244,17,D1,4,seventy,எழுபது,Numbers and Math,"எண்கள், கணக்கு"
245,17,D1,5,center,மையம்,Numbers and Math,"எண்கள், கணக்கு"
246,17,D1,6,interest,வட்டி,Numbers and Math,"எண்கள், கணக்கு"
247,17,D1,7,expense,செலவு,Numbers and Math,"எண்கள், கணக்கு"
248,17,D1,8,rectangle,செவ்வகம்,Numbers and Math,"எண்கள், கணக்கு"
249,17,D1,9,straight line,நேர்க்கோடு,Numbers and Math,"எண்கள், கணக்கு"
250,17,D1,10,zero,சுழியம்,Numbers and Math,"எண்கள், கணக்கு"
251,17,D1,11,triangle,முக்கோணம்,Numbers and Math,"எண்கள், கணக்கு"
252,17,D1,12,eighty,எண்பது,Numbers and Math,"எண்கள், கணக்கு"
253,17,D1,13,circle,வட்டம்,Numbers and Math,"எண்கள், கணக்கு"
254,17,D1,14,addition,கூட்டல்,Numbers and Math,"எண்கள், கணக்கு"
255,17,D1,15,division,வகுத்தல்,Numbers and Math,"எண்கள், கணக்கு"
256,17,D1,16,multiplication,பெருக்கல்,Numbers and Math,"எண்கள், கணக்கு"
257,17,D1,17,subtraction,கழித்தல்,Numbers and Math,"எண்கள், கணக்கு"
258,17,D1,18,lakh,இலட்சம்,Numbers and Math,"எண்கள், கணக்கு"
259,17,D1,19,crore,கோடி,Numbers and Math,"எண்கள், கணக்கு"
260,17,D1,20,point,புள்ளி,Numbers and Math,"எண்கள், கணக்கு"
261,17,D2,1,approximate,ஏறத்தாழ,Numbers and Math,"எண்கள், கணக்கு"
262,17,D2,2,quotient,ஈவு,Numbers and Math,"எண்கள், கணக்கு"
263,17,D2,3,quarter circle,கால்வட்டம்,Numbers and Math,"எண்கள், கணக்கு"
264,17,D2,4,half circle,அரைவட்டம்,Numbers and Math,"எண்கள், கணக்கு"
265,17,D2,5,difference,வேறுபாடு,Numbers and Math,"எண்கள், கணக்கு"
266,17,D2,6,percentage,விழுக்காடு,Numbers and Math,"எண்கள், கணக்கு"
267,17,D2,7,remainder,மீதி,Numbers and Math,"எண்கள், கணக்கு"
268,17,D2,8,sum,தொகை,Numbers and Math,"எண்கள், கணக்கு"
269,17,D2,9,composite number,கலவை எண்,Numbers and Math,"எண்கள், கணக்கு"
270,17,D2,10,geometry,வடிவியல்,Numbers and Math,"எண்கள், கணக்கு"
271,17,D2,11,octagon,எண்கோணம்,Numbers and Math,"எண்கள், கணக்கு"
272,17,D2,12,pentagon,ஐங்கோணம்,Numbers and Math,"எண்கள், கணக்கு"
273,17,D2,13,hexagon,அறுகோணம்,Numbers and Math,"எண்கள், கணக்கு"
274,17,D2,14,sphere,கோளம்,Numbers and Math,"எண்கள், கணக்கு"
275,17,D2,15,right angle,செங்கோணம்,Numbers and Math,"எண்கள், கணக்கு"
276,17,D2,16,perpendicular,செங்குத்துக்கோடு,Numbers and Math,"எண்கள், கணக்கு"
277,17,D2,17,parallel,இணை கோடு,Numbers and Math,"எண்கள், கணக்கு"
